date,time,MW
2024-01-01,00_00,265.9
2024-01-01,01_00,261.1
2024-01-01,02_00,264.1
2024-01-01,03_00,264.8
2024-01-01,04_00,265.8
2024-01-01,05_00,258.8
2024-01-01,06_00,254.4
2024-01-01,07_00,254.2
2024-01-01,08_00,254.0
2024-01-01,09_00,261.9
2024-01-01,10_00,266.2
2024-01-01,11_00,278.4
2024-01-01,12_00,282.5
2024-01-01,13_00,270.5
2024-01-01,14_00,278.8
2024-01-01,15_00,283.0
2024-01-01,16_00,278.9
2024-01-01,17_00,271.1
2024-01-01,18_00,265.9
2024-01-01,19_00,259.6
2024-01-01,20_00,264.6
2024-01-01,21_00,239.0
2024-01-01,22_00,184.4
2024-01-01,23_00,152.0
2024-01-02,00_00,161.4
2024-01-02,01_00,121.7
2024-01-02,02_00,110.2
2024-01-02,03_00,93.8
2024-01-02,04_00,98.1
2024-01-02,05_00,105.4
2024-01-02,06_00,101.5
2024-01-02,07_00,98.2
2024-01-02,08_00,91.4
2024-01-02,09_00,111.0
2024-01-02,10_00,110.0
2024-01-02,11_00,104.0
2024-01-02,12_00,92.8
2024-01-02,13_00,152.7
2024-01-02,14_00,159.8
2024-01-02,15_00,177.0
2024-01-02,16_00,179.9
2024-01-02,17_00,168.2
2024-01-02,18_00,156.8
2024-01-02,19_00,119.5
2024-01-02,20_00,79.5
2024-01-02,21_00,26.0
2024-01-02,22_00,34.0
2024-01-02,23_00,57.0
2024-01-03,00_00,107.4
2024-01-03,01_00,82.4
2024-01-03,02_00,25.8
2024-01-03,03_00,20.3
2024-01-03,04_00,20.3
2024-01-03,05_00,45.4
2024-01-03,06_00,65.1
2024-01-03,07_00,58.2
2024-01-03,08_00,178.7
2024-01-03,09_00,304.0
2024-01-03,10_00,289.8
2024-01-03,11_00,285.7
2024-01-03,12_00,290.3
2024-01-03,13_00,294.1
2024-01-03,14_00,290.5
2024-01-03,15_00,288.2
2024-01-03,16_00,278.4
2024-01-03,17_00,292.4
2024-01-03,18_00,292.4
2024-01-03,19_00,294.3
2024-01-03,20_00,294.0
2024-01-03,21_00,293.2
2024-01-03,22_00,294.3
2024-01-03,23_00,294.0
2024-01-04,00_00,291.6
2024-01-04,01_00,293.9
2024-01-04,02_00,293.7
2024-01-04,03_00,286.5
2024-01-04,04_00,277.6
2024-01-04,05_00,211.8
2024-01-04,06_00,129.9
2024-01-04,07_00,89.0
2024-01-04,08_00,36.9
2024-01-04,09_00,26.9
2024-01-04,10_00,33.1
2024-01-04,11_00,70.4
2024-01-04,12_00,81.7
2024-01-04,13_00,118.6
2024-01-04,14_00,136.3
2024-01-04,15_00,159.3
2024-01-04,16_00,126.3
2024-01-04,17_00,112.8
2024-01-04,18_00,102.4
2024-01-04,19_00,84.8
2024-01-04,20_00,75.3
2024-01-04,21_00,33.9
2024-01-04,22_00,44.0
2024-01-04,23_00,8.0
2024-01-05,00_00,33.0
2024-01-05,01_00,73.2
2024-01-05,02_00,52.8
2024-01-05,03_00,43.1
2024-01-05,04_00,28.9
2024-01-05,05_00,27.4
2024-01-05,06_00,18.6
2024-01-05,07_00,8.6
2024-01-05,08_00,0.4
2024-01-05,09_00,1.4
2024-01-05,10_00,27.1
2024-01-05,11_00,42.0
2024-01-05,12_00,67.2
2024-01-05,13_00,71.5
2024-01-05,14_00,81.1
2024-01-05,15_00,41.3
2024-01-05,16_00,24.8
2024-01-05,17_00,24.5
2024-01-05,18_00,23.0
2024-01-05,19_00,25.1
2024-01-05,20_00,13.8
2024-01-05,21_00,12.8
2024-01-05,22_00,1.2
2024-01-05,23_00,0.0
2024-01-06,00_00,0.2
2024-01-06,01_00,0.9
2024-01-06,02_00,7.4
2024-01-06,03_00,30.7
2024-01-06,04_00,28.0
2024-01-06,05_00,49.5
2024-01-06,06_00,54.2
2024-01-06,07_00,48.0
2024-01-06,08_00,32.1
2024-01-06,09_00,75.2
2024-01-06,10_00,142.8
2024-01-06,11_00,169.3
2024-01-06,12_00,197.0
2024-01-06,13_00,212.7
2024-01-06,14_00,253.3
2024-01-06,15_00,284.2
2024-01-06,16_00,292.1
2024-01-06,17_00,262.1
2024-01-06,18_00,204.0
