date,time,MW
2024-01-01,00_00,764.3
2024-01-01,01_00,765.0
2024-01-01,02_00,763.5
2024-01-01,03_00,763.6
2024-01-01,04_00,763.1
2024-01-01,05_00,762.7
2024-01-01,06_00,763.0
2024-01-01,07_00,762.8
2024-01-01,08_00,764.1
2024-01-01,09_00,762.7
2024-01-01,10_00,763.3
2024-01-01,11_00,763.6
2024-01-01,12_00,763.2
2024-01-01,13_00,763.9
2024-01-01,14_00,763.3
2024-01-01,15_00,763.0
2024-01-01,16_00,761.3
2024-01-01,17_00,758.0
2024-01-01,18_00,760.9
2024-01-01,19_00,762.5
2024-01-01,20_00,761.5
2024-01-01,21_00,739.5
2024-01-01,22_00,678.2
2024-01-01,23_00,573.5
2024-01-02,00_00,446.6
2024-01-02,01_00,320.2
2024-01-02,02_00,71.8
2024-01-02,03_00,30.4
2024-01-02,04_00,35.9
2024-01-02,05_00,21.8
2024-01-02,06_00,6.9
2024-01-02,07_00,26.7
2024-01-02,08_00,31.8
2024-01-02,09_00,42.0
2024-01-02,10_00,36.1
2024-01-02,11_00,13.3
2024-01-02,12_00,347.3
2024-01-02,13_00,530.3
2024-01-02,14_00,514.1
2024-01-02,15_00,460.7
2024-01-02,16_00,376.6
2024-01-02,17_00,262.9
2024-01-02,18_00,106.8
2024-01-02,19_00,38.9
2024-01-02,20_00,6.4
2024-01-02,21_00,0.0
2024-01-02,22_00,75.2
2024-01-02,23_00,65.1
2024-01-03,00_00,75.3
2024-01-03,01_00,103.9
2024-01-03,02_00,149.6
2024-01-03,03_00,57.1
2024-01-03,04_00,171.8
2024-01-03,05_00,224.7
2024-01-03,06_00,206.7
2024-01-03,07_00,258.7
2024-01-03,08_00,525.6
2024-01-03,09_00,554.2
2024-01-03,10_00,707.5
2024-01-03,11_00,761.6
2024-01-03,12_00,757.6
2024-01-03,13_00,760.4
2024-01-03,14_00,763.9
2024-01-03,15_00,764.4
2024-01-03,16_00,764.8
2024-01-03,17_00,763.7
2024-01-03,18_00,764.3
2024-01-03,19_00,763.0
2024-01-03,20_00,764.3
2024-01-03,21_00,764.8
2024-01-03,22_00,763.2
2024-01-03,23_00,762.3
2024-01-04,00_00,765.4
2024-01-04,01_00,756.4
2024-01-04,02_00,764.0
2024-01-04,03_00,762.2
2024-01-04,04_00,764.2
2024-01-04,05_00,759.5
2024-01-04,06_00,648.8
2024-01-04,07_00,622.9
2024-01-04,08_00,500.4
2024-01-04,09_00,243.0
2024-01-04,10_00,177.7
2024-01-04,11_00,238.5
2024-01-04,12_00,306.4
2024-01-04,13_00,355.2
2024-01-04,14_00,182.2
2024-01-04,15_00,144.3
2024-01-04,16_00,154.3
2024-01-04,17_00,123.8
2024-01-04,18_00,89.6
2024-01-04,19_00,53.9
2024-01-04,20_00,9.0
2024-01-04,21_00,0.0
